index,브랜드명,매장수,상호,대표자,법인설립등기일,사업자등록일,대표번호,대표팩스번호,사업자유형,법인등록번호,사업자등록번호,주소
130,아덴블랑제리,21,와이제이와이푸드(주),최용진,2019-10-23,2019-12-01,051-639-7772,-,법인,180111-1246213,217-81-50145,"우 : 48400 부산광역시 남구 전포대로 133 (문현동,IFC부산판매시설내 GF)"
131,온리비커피(Only B COFFEE),6,(주)온리비컴퍼니,최한빈,2020-05-11,2020-06-01,051-1688-8635,051-747-8635,법인,180111-1288348,551-86-01840,"우 : 48060 부산광역시 해운대구 APEC로 17 3106호(우동, 센텀리더스마크)"
132,고팥슈,1,고팥슈,윤태노,2017-08-08,2020-09-02,1544-5539,-,개인,-,817-12-00677,우 : 12260 경기도 남양주시 경춘로 379 1층 일부
133,아메리칸에그샌드,23,(주)윌앤컴퍼니,최보경,2017-04-28,2017-05-18,02-575-0117,02-6280-0117,법인,110111-6389905,741-81-00740,우 : 12918 경기도 하남시 미사강변서로 25 5층 에프508호
134,유캔두잇,50,(주)할수있다,이호준,2021-03-11,2021-03-11,02-421-7557,02-412-6255,법인,110111-7803813,437-86-02015,우 : 05703 서울특별시 송파구 중대로 197 3층 305호 에이265 (가락동)
135,애플블러썸,8,애플블러썸,장지호,-,2014-10-21,02-1855-1970,02-1855-1970,개인,-,201-18-34409,"우 : 04579 서울특별시 중구 난계로 151 (신당동, 신당아르브 102호)"
136,디저트 39,407,(주)에스엠씨인터내셔널,"신민창, 최한나",2015-07-10,2015-07-01,1644-2927,02-501-3902,법인,110111-5778604,719-86-00092,우 : 06226 서울특별시 강남구 언주로 321 6층 (광진빌딩)
137,오우야에스프레소바,1,(주)엠비치오넴,김성빈,2018-12-24,2019-01-02,02-6958-9004,070-8624-0602,법인,110111-6964517,376-87-01339,우 : 03980 서울특별시 마포구 성미산로29안길 7 4층
138,백금당,30,백금당,최정락,-,2017-02-17,010-8899-0809,000-0000-0000,개인,-,515-15-01621,우 : 42452 대구광역시 남구 현충로 48 1층(대명동)
139,YOLE (욜레 Ice Cream & Frozen Yogurt),,주식회사 킬사코리아,권오숭,2019-04-15,2021-09-10,050713995092,-,법인,110111-7071105,674-87-01155,"서울특별시 마포구 백범로31길 21, 본관동 2층 지217호(공덕동, 서울창업허브)"
140,모노치즈,8,(주)어디로드,이달원,2016-08-26,2016-09-05,031-874-1888,031-873-0888,법인,280211-0157856,256-87-00467,우 : 11511 경기도 양주시 백석읍 중앙로93번길 96 1층 일부
141,카페인중독,92,(주)중독컴퍼니,김성우,2018-04-04,2018-04-09,02-1522-6133,02-702-5598,법인,110100-6709947,469-81-01094,우 : 06126 서울특별시 강남구 봉은사로20길 46 역삼동
142,시간을 들이다,1,시간을들이다,김서중,-,2017-06-05,02-812-2158,-,개인,-,512-41-00239,우 : 07042 서울특별시 동작구 국사봉길 37 1층
143,가드니아,6,(주)해피코리아,심명구,2019-02-12,2019-02-01,1566-0788,031-595-7756,법인,284111-0204308,858-81-01412,우 : 12243 경기도 남양주시 일패로 29(일패동) 1층
144,토리스타특별한커피,15,토리스타씨앤에스(toristarC&S),김현기,-,2016-04-13,042-273-9272,042-282-9273,개인,-,494-33-00218,우 : 34706 대전광역시 동구 석천로 99 (낭월동)
145,하이즈커피,,(주)펀하이즈,김득호,2021-11-15,2021-11-15,1644-5462,000,법인,110111-8091706,815-81-02597,"우 : 04799 서울특별시 성동구 아차산로17길 49 1407호(성수동2가, 생각공장데시앙플렉스)"
146,마시그래이,78,(주)에스이엠,정영주,2014-04-18,2014-04-24,053-474-9511,053-474-9522,법인,170111-0526436,502-86-32017,우 : 42048 대구광역시 수성구 국채보상로 1022 2층
147,천미리,6,천미리커피,최명화,-,2020-11-09,001-644-4508,050-4333-5376,개인,-,551-27-00882,우 : 50907 경상남도 김해시 가락로 276 1층(구산동)
148,밀화당,2,(주)밀화당,조민재,2021-08-04,2021-08-10,00,-,법인,135511-0387867,447-86-02399,우 : 14999 경기도 시흥시 장현능곡로 155 2층 2047호
149,홍콩다방,29,(주)홍콩다방코리아,윤지환,2020-12-02,2020-12-07,070-4032-5310,02-2675-0333,법인,110111-7702817,889-87-02061,우 : 07217 서울특별시 영등포구 당산로41길 11 제7층 제이703호(당산동4가)
150,와플칸,153,(주)와플칸,김동찬,2020-09-11,2020-09-30,070-7773-9797,000-0000-0000,법인,180111-1314979,665-88-01876,우 : 49418 부산광역시 사하구 장평로299번안길 42 신평동(신평동)
151,아임요거트,10,냉정과열정사이,김대호,-,2020-08-10,4893-3957,-,개인,-,580-41-00659,우 : 04757 서울특별시 성동구 마장로 316-1 2층
152,돌빙커피,2,(주)돌빙에프엔비,권순영,-,2021-12-07,031-938-6808,000,법인,134511-0550647,521-81-02445,우 : 17054 경기도 용인시 처인구 명지로16번길 26 상가 119동 1층 비101호(역북동)
153,엔제리너스,535,롯데지알에스(주),차우철,1979-10-25,1979-10-25,02-709-1114,02-709-1003,법인,110111-0262850,106-81-23498,우 : 04322 서울특별시 용산구 한강대로71길 47 (갈월동)
154,파리바게뜨,3046,(주)파리크라상,"황재복, 이명욱",1986-10-17,1987-01-15,02-2276-6000,050-5073-0144,법인,110111-0508311,129-81-07244,우 : 13220 경기도 성남시 중원구 사기막골로31번길 18 (상대원동)
155,하삼동커피,560,(주)하삼동,한지혜,2020-04-01,2020-04-14,051-941-0318,051-941-5123,법인,180111-1281136,462-81-01716,"우 : 46726 부산광역시 강서구 명지국제2로28번길 23 2동 309호(명지동, 네오웨스턴스퀘어)"
156,에그셀런트,77,(주)다이닝팩토리,이광호,2015-04-23,2015-06-08,02-1544-3794,02-3452-1097,법인,110111-5705714,709-86-00080,우 : 06114 서울특별시 강남구 강남대로122길 15 6층(논현동)
157,모두계란빵,,모두계란빵,김성민,-,2022-03-02,070-4047-084,-,개인,-,493-10-02024,"경기도 군포시 산본로323번길 10-18, 104호"
158,소미담 떡카페,,소미담,정보구,-,2021-09-30,010-7232-6433,-,개인,-,264-36-01034,"경기도 남양주시 진접읍 해밀예당1로 28, 1층 일부(진접농협 연평지점)"
159,조선다방,27,(주)내조국국밥,박영호,2020-07-16,2020-07-17,1661-0553,030334445251,법인,206211-0075743,436-87-02042,우 : 59631 전라남도 여수시 삼동3길 10 .
160,앤티앤스,243,(주)재원푸드,오현준,2001-02-01,2001-02-05,02-587-0955,02-587-0956,법인,110111-2161034,220-86-04977,"우 : 06716 서울특별시 서초구 반포대로 22 10층(서초동, 서초평화빌딩)"
161,드롭탑(DROPTOP),219,(주)다도글로벌,임문수,2010-07-21,2010-08-01,02-541-7800,02-541-0111,법인,110111-4397835,211-88-47165,"우 : 06526 서울특별시 서초구 강남대로 601 8층, 7층"
162,나뚜루(Natuur),55,롯데제과(주),"신동빈, 민명기",2017-10-12,2017-10-01,02-2670-6166,02-2670-6184,법인,110111-6536481,186-81-00924,우 : 07207 서울특별시 영등포구 양평로21길 10 롯데제과(주)
163,픽커스,,(주)더픽코리아,김지선,2021-09-08,2021-09-09,010-5270-8804,-,법인,285011-0483234,573-81-02204,우 : 10406 경기도 고양시 일산동구 일산로380번길 35-1 3층
164,블랙와인커피,4,(주)블랙와인커피,황규상,2018-12-20,2018-12-24,015447940,031-946-4964,법인,284911-0194587,602-88-01161,"우 : 10841 경기도 파주시 문산읍 방촌로 1234 1동, 2동, 3동"
165,시나본(CINNABON),26,블루빈컴퍼니(주),김태준,2011-10-11,2011-10-11,02-1644-0976,02-548-0978,법인,110111-4705385,110-81-97344,우 : 04768 서울특별시 성동구 서울숲2길 40 4층
166,메일빈24,11,(주)휴니크,"김영애, 서보라",2016-11-21,2016-11-25,02-2633-4350,02-2633-4351,법인,110111-6238045,148-81-00465,우 : 07299 서울특별시 영등포구 경인로 775 1-701호
167,메가엠지씨커피(MEGA MGC COFFEE),2059,(주)앤하우스,김대영,2010-11-30,2010-12-01,02-335-0656,02-325-5199,법인,110111-4481836,105-87-51367,우 : 03993 서울특별시 마포구 월드컵북로4길 81 1층
168,언택트카페무,6,(주)엠에스앤아이,김민성,2015-08-05,2015-08-10,02-1688-8642,02-6455-3299,법인,110111-5801794,898-88-00157,"우 : 06043 서울특별시 강남구 강남대로 584 6층(논현동, 성일빌딩)"
169,카페16온스,15,(주)카페16온스,"이주호, 이규호",-,2016-11-15,2412-3980,-,법인,180111-1411931,654-08-00609,"우 : 46291 부산광역시 금정구 부산대학로 29 2층 209호(장전동, 네오스퀘어)"
170,스므으커피,10,(주)제이제이디,박서인,2019-02-18,2019-02-18,001-800-3245,055-322-1197,법인,180111-1201647,362-88-01278,우 : 10256 경기도 고양시 일산동구 공릉천로 209-97 1동 2층(사리현동)
171,낼름,,(주)엔알엔알,박윤채,2021-10-07,2021-10-14,3894-5144,-,법인,204311-0042502,633-81-02296,우 : 57343 전라남도 담양군 담양읍 중앙로 63 2층
172,LQL터쿼이즈(TURQUOISE),1,(주)빅브라더,박대형,2013-03-14,2013-03-14,1599-7531,032-426-7531,법인,120111-0650368,121-86-24297,"우 : 21984 인천광역시 연수구 송도과학로16번길 13-18 410호(송도동, 송도건원테크노큐브)"
173,티블랙(TEA BLACK),10,(주)강남사람들,조광섭,2016-02-22,2016-03-02,070-8292-5532,000-000-0000,법인,110111-5980308,394-88-00238,우 : 05248 서울특별시 강동구 올림픽로 659 405호
174,커피홀(coffee hole),20,(자)동명식품서울지점,"박철진, 박재동",1984-12-27,1985-01-01,02-3663-3639,02-3664-7171,법인,191113-0000845,767-85-00342,"우 : 05836 서울특별시 송파구 법원로9길 26 C동 2층 202, 203호(문정동, 에이치비지니스파크)"
175,켄커피,1,켄커피(본점),변종호,-,2019-01-28,031-340-9919,000,개인,-,827-18-00787,우 : 13911 경기도 안양시 만안구 예술공원로 164-1 (안양동)
176,커피홀베이커리,30,(자)동명식품서울지점,"박철진, 박재동",1984-12-27,1985-01-01,02-3663-3639,02-3664-7171,법인,191113-0000845,767-85-00342,"우 : 05836 서울특별시 송파구 법원로9길 26 C동 2층 202, 203호(문정동, 에이치비지니스파크)"
177,아이엠도넛(IamDonut),41,(주)쿼드코리아,이현재,2020-11-23,2020-11-27,1522-4490,043-274-2805,법인,150111-0297958,624-81-01992,우 : 28805 충청북도 청주시 서원구 가장로 348 2층(장암동)
178,마이쥬스,12,(주)마이에프앤비,정진아,2015-02-11,2015-02-13,02-794-4550,02-702-1999,법인,110111-5640952,106-87-12334,"우 : 04637 서울특별시 중구 퇴계로 10 메트로타워 주차동 7층(남대문로5가, 서울로플라자)"
179,우주라이크(WOULDULIKE),133,(주)우주에프앤디,이우성,2016-12-06,2016-12-06,1661-6352,070-8129-7454,법인,280211-0161427,540-88-00544,"우 : 11619 경기도 의정부시 호국로 1049 102호(가능동, 스타파크빌)"
180,비커피(BEE COFFEE),5,(주)씨에프씨,강병만,2016-05-16,2016-05-12,051-741-1052,051-741-1056,법인,180111-1033842,515-86-00544,우 : 46332 부산광역시 금정구 공단로 60 3동 4층
181,파파도나스,31,(주)파파들,"이윤성, 이원일, 정인성, 이국진",2020-02-03,2020-02-12,02-312-0877,-,법인,110111-7375846,411-87-01495,"우 : 03767 서울특별시 서대문구 신촌로 189 1015호(대현동, 이화인비따레오피스텔)"
182,빽다방,1127,(주)더본코리아,백종원,1994-01-12,1994-01-21,02-549-3864,02-511-3864,법인,110111-1002122,211-86-00870,우 : 06119 서울특별시 강남구 봉은사로1길 39 5~6층
183,래디컬브루잉클럽,1,래디컬브루잉클럽,권도근,2020-11-06,2020-10-28,010-3872-6701,000-000-0000,개인,-,629-46-00662,"서울특별시 동대문구 안암로20길 7-12, 1층(제기동, 소연재)"
184,비트박스,1,(주)비트코퍼레이션,지성원,2020-10-01,2020-10-15,1661-1167,031-697-1424,법인,131111-0607423,235-81-02321,"경기도 성남시 분당구 분다로 55, 9층(서현동, 분당퍼스트타워)"
185,벤투스커피(VENTUS COFFEE),2,(주)카페홀릭,이재철,2013-08-21,2013-09-01,070-8719-1106,050-4371-1031,법인,110111-5209261,264-81-20647,"우 : 06150 서울특별시 강남구 테헤란로 327 17층 1736호(역삼동, 빅토리아빌딩)"
186,동백다방,,베이커리카페동백다방,"이종혁, 김현경",-,2019-06-21,010-5773-7558,-,개인,-,683-22-00753,"우 : 17006 경기도 용인시 기흥구 동백중앙로 265 1층 102, 103호"
187,아틀리에빈,35,아틀리에빈(주),이원희,2016-02-19,2016-02-19,053-814-1306,053-814-1307,법인,170111-0595150,529-88-00381,우 : 38664 경상북도 경산시 옥산로 217 (중산동)
188,브레댄코(bread&co.DAILY-NEW),47,(주)브레댄코,홍수현,1981-05-19,1981-06-01,02-532-6419,02-532-4047,법인,110111-0296247,114-81-43097,우 : 06588 서울특별시 서초구 방배로 166 한승빌딩 2층
189,크레이저커피(C.Razer Coffee),33,(주)크레이저커피그룹,전기홍,2014-11-12,2014-11-12,1899-9526,02-465-9525,법인,110111-5562792,204-86-55168,우 : 02405 서울특별시 동대문구 천장산로 32-2 1층 크레이저 커피
190,와필레(WAFILLE),,(주)솔라벨,소상우,2014-10-20,2014-10-22,02-6263-0303,02-796-3103,법인,110111-5541506,106-87-09917,우 : 04345 서울특별시 용산구 녹사평대로46길 16-4 (이태원동)
191,에그마카슈,10,에그마카슈,이민재,-,2016-08-25,070-8879-1105,050-4142-6727,개인,-,564-09-00341,우 : 03086 서울특별시 종로구 대학로12길 13 1층 3호(동숭동)
192,타이지엔,13,인피니티어뉴이티,이정우,-,2019-10-18,02-408-9968,000,개인,-,722-35-00683,"우 : 05719 서울특별시 송파구 송파대로 260 1621호(가락동, 제일오피스텔)"
193,커피베이,533,(주)커피베이,백진성,2009-11-23,2009-12-01,1644-1157,02-856-1157,법인,110111-4225359,119-86-23354,"우 : 08511 서울특별시 금천구 벚꽃로 254 201호, 201-1호(가산동, 월드메르디앙1차)"
194,카페CCD,11,(주)CCD,이설빈,2021-12-13,2022-01-01,1533-1794,000-000-0000,법인,194211-0344698,352-87-02308,"우 : 51592 경상남도 창원시 진해구 냉천로 156 408호(자은동,에이스빌딩)"
195,컴포즈커피(COMPOSE COFFEE),1620,(주)컴포즈커피,김진성,2021-10-08,2021-11-01,051-1899-5685,051-723-5686,법인,180111-1396068,521-81-02386,우 : 46079 부산광역시 기장군 기장읍 대변3길 11 1층
196,떼루와,29,(주)떼루와,마영재,2015-04-29,2015-05-18,1577-5721,033-745-3505,법인,110111-5710218,331-86-00043,"우 : 26310 강원도 원주시 소초면 송황유사길 100 ,"
197,카페베네,289,(주)카페베네,박그레타,2008-11-17,2008-12-01,02-1688-7200,02-3438-6815,법인,110111-4000925,206-86-29161,"우 : 04779 서울특별시 성동구 상원1길 25, 8층 8층"
198,할리스/할리스커피,556,(주)케이지할리스에프앤비,이종현,2005-02-01,2005-02-01,02-2188-7100,02-2188-7195,법인,110111-3163675,211-87-61044,우 : 03131 서울특별시 종로구 율곡로 88 8층
199,이디야커피,2885,(주)이디야,문창기,2002-04-02,2002-04-01,02-543-6467,02-543-7191,법인,110111-2487753,107-86-16302,우 : 06107 서울특별시 강남구 논현로 636 (논현동)
200,커피마마,312,티에고(주),박태고,2010-07-09,2010-07-09,02-434-2966,02-434-2963,법인,110111-4390152,204-86-21969,우 : 06067 서울특별시 강남구 삼성로133길 4 2층
201,usBaker(어스베이커),,(주)어스베이커,전용호,2022-01-21,2022-01-26,031-697-8142,031-697-8143,법인,131111-0660009,845-86-02405,"우 : 13461 경기도 성남시 분당구 운중로 115 10층 1002호 (운중동, 판오션타워)"
202,뚜레쥬르,1311,씨제이푸드빌(주),김찬호,2000-06-07,2000-07-01,3768888,02-6740-4998,법인,161511-0036967,312-81-42519,우 : 04555 서울특별시 중구 마른내로 34 케이티앤지 을지로타워 (초동)
203,일리 카페 (illy Caffe),30,(주)큐로에프앤비,조중기,2007-07-04,2007-07-04,02-3460-4960,02-3460-4966,법인,110111-3712042,107-86-92969,"우 : 06159 서울특별시 강남구 테헤란로77길 7 (삼성동, 동원빌딩 2층)"
204,공차,833,(주)공차코리아,김의열,2011-09-27,2011-09-27,02-779-7758,02-779-7759,법인,110111-4694918,214-88-84534,"우 : 03160 서울특별시 종로구 종로 47 7층(공평동, 한국스탠다드차타드은행 빌딩)"
205,커피에반하다,550,(주)커피에반하다,임은성,2013-07-19,2013-07-19,1522-4228,031-905-8835,법인,284911-0117539,141-81-35978,우 : 10880 경기도 파주시 지목로 9 2층(신촌동)
206,배스킨라빈스,1671,비알코리아(주),도세호,1985-06-07,1986-03-31,080-555-3131,050-5073-0347,법인,131111-0005693,303-81-09535,우 : 27651 충청북도 음성군 삼성면 금일로 955-25 비알코리아(주)
207,프렌치크로플,,프렌치 크로플,이숭희,-,2021-11-11,010-2434-6631,-,개인,-,289-67-00547,"서울특별시 강북구 노해로23길 32, 1층 102호(수유동, 수정빌)"
208,파리공방(Paris Atelier),,(주)아이윈,윤한주,2017-04-28,2017-04-29,1661-0054,070-8290-9595,법인,110111-6389715,624-87-00700,"우 : 06132 서울특별시 강남구 테헤란로25길 20 1401호(역삼동, 역함현대벤쳐텔)"
209,타르타르,16,바른FC,김영일,-,2013-04-12,016709242,031-998-5519,개인,-,121-23-70947,우 : 10113 경기도 김포시 김포대로679번길 14-3 3층 304호
210,플라타너스(PLATANUS),5,(주)세화에프앤씨,윤형만,2011-03-08,2011-12-19,02-2244-0096,02-2244-0097,법인,110111-4551556,408-81-93788,우 : 02633 서울특별시 동대문구 천호대로 357 606호(장안동)
211,밀크로지,,밀크로지F&B,정일남,-,2021-12-15,0000000,050-4484-5883,개인,-,263-18-01508,우 : 14067 경기도 안양시 동안구 시민대로 230 A동 206호
212,타래커피1998,,(주)느낌1998,양성미,2021-10-20,2021-10-22,1533-2988,02-577-1994,법인,110111-8062426,223-88-02249,우 : 06779 서울특별시 서초구 언남길 15-3 3층
213,카페미뇽,47,(주)굿베이크아이엔,온승상,2020-06-25,2020-07-21,02-2634-8982,02-2634-8983,법인,110111-7533113,204-88-01725,"우 : 13201 경기도 성남시 중원구 사기막골로105번길 27 3층 301~304호(상대원동, 중앙인더스피아3)"
214,클로리스(CHLORIS),8,(주)클로리스,김석준,2011-08-09,2011-08-09,02-557-7523,-,법인,110111-4665357,105-87-61055,"우 : 06236 서울특별시 강남구 테헤란로 146 12층 1211호(역삼동, 현익빌딩)"
215,"카페,달조리법",,"카페,달조리법(cafe,달조리법)",유상준,-,2018-10-20,070-8621-3600,-,개인,-,887-58-00295,우 : 47304 부산광역시 부산진구 전포대로210번길 8 1층
216,COFFEE COOK (커피쿡),58,(주)빅트리컴퍼니,고영권,2019-01-21,2019-01-25,02-6736-2593,02-6753-2594,법인,110111-6992071,294-88-01223,"우 : 07583 서울특별시 강서구 강서로56가길 35 2층(등촌동, 에이티투아이앤티빌딩)"
217,전광수커피,15,(주)전광수커피,전광수,2017-12-14,2018-01-01,02-778-0595,02-778-0596,법인,135711-0125320,639-86-00952,"우 : 12930 경기도 하남시 조정대로 150 2층 226호 (덕풍동, 하남지식산업센터)"
218,카페홀릭,5,(주)카페홀릭,이재철,2013-08-21,2013-09-01,070-8719-1106,050-4371-1031,법인,110111-5209261,264-81-20647,"우 : 06150 서울특별시 강남구 테헤란로 327 17층 1736호(역삼동, 빅토리아빌딩)"
219,셀렉토커피,245,(주)맥스원이링크,황규연,2005-08-29,2005-09-01,1600-5649,02-6340-1701,법인,110111-3296054,109-81-99153,우 : 08389 서울특별시 구로구 디지털로26길 61 1402호(에이스하이엔드타워2차)
220,잇츠 그린(it's green),,파티아이디어,홍수정,-,2012-05-01,02-416-3105,-,개인,-,215-14-82862,우 : 05666 서울특별시 송파구 백제고분로42길 11 2층
221,19티(TEA),38,(주)참인포텍,홍기량,2007-11-27,2007-11-27,1661-8009,02-571-1955,법인,110111-3794800,214-88-18470,우 : 06782 서울특별시 서초구 논현로13길 11 5층
222,아임일리터,75,㈜아임일리터,임시훈,2019-02-12,2019-02-11,042-252-1121,042-252-1126,법인,160111-0507074,557-88-01288,우 : 34920 대전광역시 중구 대종로 451 3층(대흥동)
223,쥬스킹(JUICE KING),17,(주)엠투에프앤비,김홍준,2017-03-28,2017-03-30,1899-2639,000-000-0000,법인,160111-0451982,436-86-00519,우 : 34155 대전광역시 유성구 동서대로5번길 47-12 (구암동)
224,캔카페,12,(주)추앤서에프앤비,추민구,2021-08-24,2021-08-30,02-318-4566,02-332-5993,법인,110111-8001953,501-88-01999,우 : 04516 서울특별시 중구 서소문로 89 17층
225,트루단(TRUEDAN),1,(주)제이제이디,박서인,2019-02-18,2019-02-18,001-800-3245,055-322-1197,법인,180111-1201647,362-88-01278,우 : 10256 경기도 고양시 일산동구 공릉천로 209-97 1동 2층(사리현동)
226,라운지엑스,,(주)라운지랩,황성재,2019-05-29,2021-06-04,02-6101-0011,-,법인,110111-7122669,105-88-16839,"서울특별시 성동구 아차산로17길 48, 1동 401호"
227,탐앤탐스커피(TOMNTOMS COFFEE),256,(주)탐앤탐스,김도균,2004-12-18,2004-12-21,02-546-0781,02-546-1907,법인,110111-3134072,215-86-65050,"우 : 06031 서울특별시 강남구 논현로163길 10 2층 (신사동, 베드로빌딩)"
228,요거프레소,489,(주)현진홀딩스,최민호,2007-11-20,2007-11-20,02-2065-0776,02-2065-7161,법인,110111-3791252,109-86-10925,"우 : 04038 서울특별시 마포구 양화로 122 B1/2F(서교동,LAB7)"
229,투썸플레이스,1362,투썸플레이스(주),이영상,2018-02-01,2018-02-01,080-723-2323,02-2058-6782,법인,110111-6648062,404-86-01054,우 : 04548 서울특별시 중구 을지로 170 을지로트윈타워 동관 8층
230,호두붐,,(주)딜라이트박스,유양이,2020-12-16,2020-12-16,02-507-7873,-,법인,134111-0568721,524-87-01767,"우 : 13821 경기도 과천시 말두레로 73 , 3층(과천동)"
231,던킨/던킨도너츠,645,비알코리아(주),도세호,1985-06-07,1986-03-31,080-555-3131,050-5073-0347,법인,131111-0005693,303-81-09535,우 : 27651 충청북도 음성군 삼성면 금일로 955-25 비알코리아(주)
232,쿠크봉,12,(주)와이어즈,조석현,2017-12-11,2017-11-01,02-512-1533,02-6442-1566,법인,110111-6593952,691-87-00786,"우 : 61472 광주광역시 동구 금남로 193-22 5층 503호(금남로4가, 광주에이아이창업캠프)"
233,서울도넛츠,7,(주)천운컴퍼니,김선영,2020-06-09,2020-06-17,02-6734-2020,02-6734-2019,법인,110111-7511945,708-88-01697,"우 : 07803 서울특별시 강서구 공항대로 247 11층 1119호(마곡동, 퀸즈파크나인)"
234,코코호도,184,(주)샤마,권기택,2006-11-13,2006-11-15,001-588-1303,031-339-4080,법인,131111-0174521,129-86-03092,우 : 16886 경기도 용인시 처인구 모현읍 능원로10번길 19 .
235,엑스오엑스오 핫도그앤커피,346,(주)메가쓰리팝,"서희원, 황광기",2015-07-07,2015-07-17,02-1522-0727,02-2093-2069,법인,131111-0415305,706-87-00109,"우 : 07547 서울특별시 강서구 양천로 583 B동 13층 1301호(염창동, 우림블루나인)"
236,토프레소,192,(주)에스앤큐플러스,오종환,2012-08-22,2012-08-31,02-537-8296,030302911087,법인,110111-4943422,106-86-88346,우 : 06045 서울특별시 강남구 학동로 157 원일빌딩 5층
237,설빙,540,(주)설빙,정용만,2013-08-21,2013-08-21,02-3401-7900,02-447-8755,법인,180111-0874875,602-81-62460,"우 : 05510 서울특별시 송파구 올림픽로 319 8, 11층(신천동)"
238,더카페,195,(주)이랜드이츠,황성윤,2019-07-01,2019-07-01,02-1577-1259,02-856-0809,법인,110111-7155412,514-86-01083,우 : 08502 서울특별시 금천구 가산디지털1로 186 213호
239,쿠바문화원,,(주)쿠바에프앤비,장동석,2020-06-22,2020-06-26,02-6949-5954,000-000-0000,법인,110111-7529063,325-86-01921,"서울특별시 강남구 남부순환로351길 24, 5층(도곡동, 구정빌딩)"
240,더리터(THE LITER),385,(주)희천,"김대환, 김나미, 한정수",2015-11-16,2015-11-16,1670-7762,051-980-2240,법인,180111-1002665,666-87-00214,우 : 47216 부산광역시 부산진구 중앙대로 950 (양정동)
241,크리스피크림,160,롯데지알에스(주),차우철,1979-10-25,1979-10-25,02-709-1114,02-709-1003,법인,110111-0262850,106-81-23498,우 : 04322 서울특별시 용산구 한강대로71길 47 (갈월동)
242,명랑시대쌀핫도그,597,명랑시대외식청년창업협동조합,이종형,2016-09-20,2016-09-20,1600-0399,042-472-9476,법인,165251-0009615,601-87-00459,"우 : 34168 대전광역시 유성구 대학로 27 14층 1409호(봉명동, 유성현대리조텔)"
243,그린고메,,그린 고메(Green Gourmet),윤현진,-,2018-08-20,02-6080-7573,000-000-0000,개인,-,233-35-00577,"서울특별시 강남구 논현로 102길 6, 1층 (역삼동)"
244,세븐투텐,,(주)앤플러스9,김재남,2013-01-10,2018-07-13,02-6953-2358,02-6953-2368,법인,110111-5042182,107-87-85747,"서울특별시 금천구 서부샛길 606, 지하1층 105호-78호"
245,펄스맥 커피,8,(주)펄맨,김대현,2016-09-19,2016-10-04,042-487-0099,042-487-0096,법인,160111-0435960,437-87-00580,우 : 35221 대전광역시 서구 월평로13번길 52 (월평동)
246,쿠오레(Cuore),3,(주)쿠오레,박진성,2016-06-30,2016-09-19,070-7750-9230,0,법인,110111-6107274,541-86-00301,"우 : 06729 서울특별시 서초구 강남대로 275 1층(서초동, 강남메인타워)"
247,와플킹,1,(주)서래스터,박철,2009-04-29,2009-05-01,02-1688-3450,02-2216-3450,법인,110111-4087981,209-81-48371,우 : 02438 서울특별시 동대문구 망우로21길 52 C동 203호
248,Bread Farm(빵농장),,(주)빵선생,박재현,2020-09-15,2020-10-05,02-2663-4770,02-2663-4771,법인,134811-0568777,817-86-01736,"우 : 13201 경기도 성남시 중원구 사기막골로105번길 25 3층 306호, 307호(상대원동, 중앙인더스피아제2공장)"
249,소보롱,6,케익타르트,민복기,-,2002-06-20,031-310-8774,031-629-6700,개인,-,123-22-74369,우 : 15425 경기도 안산시 단원구 능안로 81 4014호
250,디저트부티크엠,,디저트부티크엠,권민서,-,2017-02-27,070-7677-0771,053-218-0777,개인,-,209-32-62884,우 : 41051 대구광역시 동구 아양로 309 1층
251,카페 꽃이피다,10,(주)꽃이피다,김문환,2020-12-22,2021-01-10,1899-6494,000000000000,법인,170111-0800179,196-81-02308,우 : 41101 대구광역시 동구 안심로50길 22-1 1층(서호동)
252,빵장수단팥빵,37,(주)피쉐프코리아,박기태,2015-12-15,2015-12-15,1577-6876,053-256-0192,법인,170111-0588410,454-87-00299,우 : 41921 대구광역시 중구 북성로4길 43 -
253,더앨리(THE ALLEY),13,(주)앤그로운,이소연,2018-06-26,2018-07-02,02-515-3449,-,법인,110111-6793198,597-86-01263,우 : 06075 서울특별시 강남구 영동대로142길 27 지하층 4호(청담동)
254,45초 커피,,(주)씨에이치제이,김찬현,2013-11-05,2013-11-12,070-4849-0891,031-425-9292,법인,134111-0371611,138-81-88601,"우 : 14072 경기도 안양시 동안구 평촌대로 217 101동 410호 (호계동, 한솔센트럴파크I)"
255,벌크커피(BULK COFFEE),174,(주)벌크커피,이윤식,2016-11-09,2016-11-10,1661-4687,062-443-3800,법인,200111-0477583,654-87-00472,우 : 62328 광주광역시 광산구 사암로 398 4층(월곡동)
256,릴렉스라운지,,(주)오리지날스푼,송준호,2013-11-20,2013-11-20,1644-1038,02-516-3203,법인,110111-5272268,230-81-03193,"우 : 05549 서울특별시 송파구 올림픽로32길 48 3층(방이동, 보명빌딩)"
257,평화다방,4,(주)그레닉스,곽계민,2012-06-13,2012-06-12,02-512-6257,070-7561-6257,법인,110111-4890483,120-87-84324,"우 : 15845 경기도 군포시 공단로140번길 37 3층, 4층(당정동, 두림빌딩)"
258,바게뜨양,8,바게뜨양동의대점,양지민,-,2019-09-20,3838-5402,-,개인,-,255-02-01694,우 : 47336 부산광역시 부산진구 가야대로552번길 115 1층(가야동)
